,Unnamed: 0,date,content,shifted_date
0,0,2020-01-09,"WHO Announces Mysterious Coronavirus-Related Pneumonia in Wuhan, China
",2020-01-10
1,1,2020-01-20,"CDC Says 3 US Airports Will Begin Screening for Coronavirus
",2020-01-21
2,2,2020-01-21,"CDC Confirms First US Coronavirus Case
",2020-01-22
3,3,2020-01-21,"Chinese Scientist Confirms COVID-19 Human Transmission
",2020-01-22
4,4,2020-01-23,"Wuhan Now Under Quarantine
",2020-01-24
5,5,2020-01-31,"WHO Issues Global Health Emergency
",2020-02-01
6,6,2020-02-02,"Global Air Travel Is Restricted
",2020-02-03
7,7,2020-02-03,"US Declares Public Health Emergency
",2020-02-04
8,8,2020-02-10,"China’s COVID-19 Deaths Exceed Those of SARS Crisis
",2020-02-11
9,9,2020-02-25,"CDC Says COVID-19 Is Heading Toward Pandemic Status
",2020-02-26
10,10,2020-03-06,"21 Passengers on California Cruise Ship Test Positive
",2020-03-07
11,11,2020-03-11,"WHO Declares COVID-19 a Pandemic
",2020-03-12
12,12,2020-03-13,"Trump Declares COVID-19 a National Emergency
",2020-03-14
13,13,2020-03-13,"Travel Ban on Non-US Citizens Traveling From Europe Goes Into Effect
",2020-03-14
14,14,2020-03-17,"University of Minnesota Begins Testing Hydroxychloroquine
",2020-03-18
15,15,2020-03-17,"CMS Temporarily Expands Use of Telehealth 
",2020-03-18
16,16,2020-03-17,"Administration Asks Congress to Send Americans Direct Financial Relief
",2020-03-18
17,17,2020-03-19,"California Issues Statewide Stay-at-Home Order
",2020-03-20
18,18,2020-03-24,"With Clinical Trials on Hold, Innovation Stalls
",2020-03-25
19,19,2020-03-25,"Reports Find Extended Shutdowns Can Delay Second Wave
",2020-03-26
20,20,2020-03-26,"Senate Passes CARES Act
",2020-03-27
21,21,2020-03-27,"Trump Signs CARES Act Into Law
",2020-03-28
22,22,2020-03-30,"FDA Authorizes Use of Hydroxychloroquine
",2020-03-31
23,23,2020-03-31,"COVID-19 Can Be Transmitted Through the Eye
",2020-04-01
