date,covid_search_trend
2020-01-26,0
2020-02-02,0
2020-02-09,1
2020-02-16,1
2020-02-23,4
2020-03-01,8
2020-03-08,32
2020-03-15,75
2020-03-22,100
2020-03-29,98
2020-04-05,87
2020-04-12,80
2020-04-19,70
2020-04-26,70
2020-05-03,65
2020-05-10,65
2020-05-17,62
2020-05-24,55
2020-05-31,50
2020-06-07,52
2020-06-14,53
2020-06-21,59
2020-06-28,63
2020-07-05,64
2020-07-12,69
2020-07-19,63
2020-07-26,65
2020-08-02,62
2020-08-09,58
2020-08-16,55
2020-08-23,51
2020-08-30,51
2020-09-06,54
2020-09-13,51
2020-09-20,53
2020-09-27,55
2020-10-04,60
2020-10-11,62
2020-10-18,62
2020-10-25,72
2020-11-01,63
2020-11-08,73
2020-11-15,76
2020-11-22,68
2020-11-29,67
2020-12-06,70
2020-12-13,75
2020-12-20,75
2020-12-27,77
2021-01-03,82
2021-01-10,84
