data_date,open,high,low,close,adj_close,volume,dividend amt,split coef,ticker
2021-01-28,154.3,160.65,154.2501,156.53,156.53,1859337,0.0000,1.0,SPY
2021-01-27,157.99,158.275,152.55,153.15,153.15,2235674,0.0000,1.0,SPY
2021-01-26,161.35,161.64,158.56,159.71,159.71,1982312,0.0000,1.0,SPY
2021-01-25,162.56,163.19,160.43,161.34,161.34,1444111,0.0000,1.0,SPY
2021-01-22,164.65,165.195,162.64,163.33,163.33,1079071,0.0000,1.0,SPY
2021-01-21,162.47,165.75,162.47,164.46,164.46,2440414,0.0000,1.0,SPY
2021-01-20,162.56,164.2,161.83,163.36,163.36,1617993,0.0000,1.0,SPY
2021-01-19,162.37,163.95,161.25,162.57,162.57,1464165,0.2500,1.0,SPY
2021-01-15,161.43,162.1,159.62,161.56,161.311934652,2516495,0.0000,1.0,SPY
2021-01-14,162.56,163.38,160.9,160.96,160.712855915,2213940,0.0000,1.0,SPY
2021-01-13,165.1,166.05,161.64,161.95,161.701335831,2603060,0.0000,1.0,SPY
2021-01-12,169.02,169.75,164.2569,166.12,165.864933055,1297600,0.0000,1.0,SPY
2021-01-11,167.9,170.49,167.58,169.39,169.129912173,1117009,0.0000,1.0,SPY
2021-01-08,167.4,169.88,166.69,168.11,167.851877533,1476016,0.0000,1.0,SPY
2021-01-07,167.45,168.8,166.7,167.0,166.74358187,1710732,0.0000,1.0,SPY
2021-01-06,162.92,167.91,162.67,167.15,166.893351554,2139772,0.0000,1.0,SPY
2021-01-05,163.15,165.29,162.5,164.73,164.477067314,1358576,0.0000,1.0,SPY
2021-01-04,166.0,166.24,160.72,163.59,163.338817713,1805925,0.0000,1.0,SPY
2020-12-31,164.5,165.675,163.23,165.5,165.245885026,1292649,0.0000,1.0,SPY
2020-12-30,163.51,164.8,163.16,164.27,164.017773615,1008988,0.0000,1.0,SPY
2020-12-29,163.21,165.1,162.4,163.12,162.869539369,1188357,0.0000,1.0,SPY
2020-12-28,161.44,162.83,160.31,162.39,162.140660238,1521959,0.0000,1.0,SPY
2020-12-24,159.92,161.8699,159.85,160.72,160.47322442,417444,0.0000,1.0,SPY
2020-12-23,162.0,162.98,159.84,159.85,159.604560251,1164579,0.0000,1.0,SPY
2020-12-22,160.53,162.375,159.64,161.83,161.581520084,1209169,0.0000,1.0,SPY
2020-12-21,160.74,161.56,158.3,160.84,160.593040167,1463787,0.0000,1.0,SPY
2020-12-18,162.65,164.54,161.05,163.63,163.378756295,3566379,0.0000,1.0,SPY
2020-12-17,161.89,163.97,161.24,162.7,162.450184253,1486986,0.0000,1.0,SPY
2020-12-16,162.36,163.33,160.54,160.62,160.373377963,1440917,0.0000,1.0,SPY
2020-12-15,160.29,162.11,158.36,161.96,161.711320477,1813106,0.0000,1.0,SPY
2020-12-14,160.1,162.87,159.085,159.5,159.255097654,1613027,0.0000,1.0,SPY
2020-12-11,157.55,159.62,157.16,159.53,159.285051591,1260587,0.0000,1.0,SPY
2020-12-10,159.45,160.47,157.89,158.12,157.877216558,1847099,0.0000,1.0,SPY
2020-12-09,159.69,160.165,157.66,158.7,158.456326004,1510417,0.0000,1.0,SPY
2020-12-08,156.87,159.5,156.47,158.99,158.745880727,1593866,0.0000,1.0,SPY
2020-12-07,157.56,159.2,157.56,158.45,158.206709864,1407087,0.0000,1.0,SPY
2020-12-04,157.16,158.22,156.66,157.95,157.707477583,1497282,0.0000,1.0,SPY
2020-12-03,158.58,159.085,156.44,157.07,156.828828768,2308205,0.0000,1.0,SPY
2020-12-02,161.0,161.835,158.48,158.95,158.705942145,1529397,0.0000,1.0,SPY
2020-12-01,161.64,162.48,159.985,161.36,161.112241739,2081739,0.0000,1.0,SPY
2020-11-30,162.48,162.48,159.65,160.38,160.133746468,4533958,0.0000,1.0,SPY
2020-11-27,161.62,162.185,160.29,161.47,161.222072841,853298,0.0000,1.0,SPY
2020-11-25,161.99,162.68,159.245,160.19,159.944038202,1981777,0.0000,1.0,SPY
2020-11-24,164.39,166.25,160.47,161.06,160.812702371,2249940,0.0000,1.0,SPY
2020-11-23,166.15,167.21,162.14,164.34,164.087666134,1493220,0.0000,1.0,SPY
2020-11-20,166.86,168.16,166.14,166.2,165.94481022,1217711,0.0000,1.0,SPY
2020-11-19,164.07,166.94,163.54,166.31,166.054641322,1329244,0.0000,1.0,SPY
2020-11-18,165.1,166.33,163.42,163.5,163.248955902,1457816,0.0000,1.0,SPY
2020-11-17,164.49,166.11,164.07,165.43,165.175992507,1214325,0.0000,1.0,SPY
2020-11-16,166.37,168.52,164.6,165.29,165.036207468,1548060,0.0000,1.0,SPY
2020-11-13,165.46,167.025,164.51,165.78,165.525455104,1666613,0.0000,1.0,SPY
2020-11-12,164.16,166.6,163.79,165.19,164.936361012,1182848,0.0000,1.0,SPY
2020-11-11,164.99,165.92,163.33,164.95,164.696729517,1570153,0.0000,1.0,SPY
2020-11-10,166.04,166.9599,160.485,162.56,162.310399214,2926603,0.0000,1.0,SPY
2020-11-09,175.46,176.41,165.01,165.2,164.946345658,2325476,0.0000,1.0,SPY
2020-11-06,172.0,172.62,166.26,169.25,168.990127134,2008167,0.0000,1.0,SPY
2020-11-05,174.675,176.64,170.38,170.9,170.637593662,2539305,0.0000,1.0,SPY
2020-11-04,165.99,176.17,165.97,174.35,174.082296401,3403777,0.0000,1.0,SPY
2020-11-03,164.64,165.49,162.9,163.14,162.88950866,1519516,0.0000,1.0,SPY
2020-11-02,161.31,163.26,160.71,162.89,162.639892519,1516572,0.0000,1.0,SPY
2020-10-30,160.02,161.32,156.25,158.55,158.30655632,2078341,0.0000,1.0,SPY
2020-10-29,159.46,162.45,158.13,161.19,160.942502764,1539036,0.0000,1.0,SPY
2020-10-28,159.76,161.5135,158.16,158.69,158.446341359,2160674,0.0000,1.0,SPY
2020-10-27,160.84,164.48,160.625,162.47,162.220537403,1851025,0.0000,1.0,SPY
2020-10-26,162.0,162.95,158.96,160.48,160.233592925,1151627,0.0000,1.0,SPY
2020-10-23,163.1,164.61,162.25,163.49,163.238971257,1111249,0.0000,1.0,SPY
2020-10-22,161.37,163.225,161.25,162.38,162.130675593,878752,0.0000,1.0,SPY
2020-10-21,159.5,162.13,159.5,161.18,160.932518118,1456729,0.0000,1.0,SPY
2020-10-20,160.28,161.535,159.12,159.69,159.444805921,2145698,0.2000,1.0,SPY
2020-10-19,164.62,165.0,159.42,159.99,159.544527483,1271127,0.0000,1.0,SPY
2020-10-16,163.98,165.845,163.32,163.55,163.0946151,1631047,0.0000,1.0,SPY
2020-10-15,162.05,163.23,161.21,162.99,162.536174351,1363831,0.0000,1.0,SPY
2020-10-14,166.54,166.7,162.79,163.66,163.204308818,1319542,0.0000,1.0,SPY
2020-10-13,167.84,168.06,165.31,165.32,164.859686752,1515846,0.0000,1.0,SPY
2020-10-12,167.08,168.96,166.19,168.55,168.080693214,1582288,0.0000,1.0,SPY
2020-10-09,163.98,165.64,162.86,165.43,164.969380471,1620930,0.0000,1.0,SPY
2020-10-08,161.93,163.555,159.89,163.17,162.715673163,3642531,0.0000,1.0,SPY
2020-10-07,161.7,163.49,158.95,159.91,159.464750233,3591701,0.0000,1.0,SPY
2020-10-06,164.5,164.5,160.84,161.52,161.070267386,1194883,0.0000,1.0,SPY
2020-10-05,164.11,165.07,162.53,163.45,162.994893538,1274675,0.0000,1.0,SPY
2020-10-02,162.38,164.71,162.0,163.55,163.0946151,1042653,0.0000,1.0,SPY
2020-10-01,166.23,166.78,163.1001,164.03,163.573278599,1061924,0.0000,1.0,SPY
2020-09-30,162.92,166.79,162.75,165.37,164.909547533,1906706,0.0000,1.0,SPY
2020-09-29,161.62,163.41,161.4419,162.48,162.027594384,1046340,0.0000,1.0,SPY
2020-09-28,162.16,164.3424,161.16,161.32,160.870824261,2293871,0.0000,1.0,SPY
2020-09-25,157.43,161.455,157.2464,160.84,160.392160762,1195871,0.0000,1.0,SPY
2020-09-24,158.84,159.505,156.53,157.98,157.540124081,1415603,0.0000,1.0,SPY
2020-09-23,161.97,162.67,159.12,159.33,158.886365172,1301298,0.0000,1.0,SPY
2020-09-22,160.35,162.48,160.1,161.51,161.060295229,1544967,0.0000,1.0,SPY
2020-09-21,159.34,161.07,157.42,160.97,160.521798793,1170004,0.0000,1.0,SPY
2020-09-18,160.11,161.97,159.1176,160.87,160.422077231,2518721,0.0000,1.0,SPY
2020-09-17,160.42,160.51,158.0,160.47,160.023190982,1258067,0.0000,1.0,SPY
2020-09-16,163.52,163.99,161.13,161.25,160.801019168,1721183,0.0000,1.0,SPY
2020-09-15,162.25,163.905,161.695,162.28,161.828151259,1039901,0.0000,1.0,SPY
2020-09-14,159.94,161.97,159.61,160.86,160.412105075,2092036,0.0000,1.0,SPY
2020-09-11,159.0,159.62,157.85,158.59,158.148425611,854092,0.0000,1.0,SPY
2020-09-10,158.9,161.52,157.21,158.1,157.659789956,1356816,0.0000,1.0,SPY
2020-09-09,155.2,160.7,155.2,158.91,158.46753461,1408593,0.0000,1.0,SPY
2020-09-08,156.23,156.27,152.5028,153.51,153.082570248,1829058,0.0000,1.0,SPY
2020-09-04,159.16,160.21,155.29,157.24,156.80218452,1552544,0.0000,1.0,SPY
2020-09-03,165.28,165.52,157.37,158.8,158.357840892,1794222,0.0000,1.0,SPY
2020-09-02,162.1,165.82,161.82,165.33,164.869658908,1790301,0.0000,1.0,SPY
2020-09-01,160.71,162.14,159.975,162.05,161.598791666,1273151,0.0000,1.0,SPY
2020-08-31,159.85,161.575,159.26,160.1,159.654221201,1392806,0.0000,1.0,SPY
2020-08-28,159.41,160.18,158.59,160.0,159.554499639,925974,0.0000,1.0,SPY
2020-08-27,160.0,161.03,158.57,159.61,159.165585546,1121653,0.0000,1.0,SPY
2020-08-26,157.58,160.41,157.22,159.76,159.31516789,1917756,0.0000,1.0,SPY
2020-08-25,157.99,158.87,156.64,158.58,158.138453455,1076129,0.0000,1.0,SPY
2020-08-24,159.75,159.75,156.21,156.76,156.323521021,1721488,0.0000,1.0,SPY
2020-08-21,158.76,159.22,157.19,158.37,157.929038174,1259454,0.0000,1.0,SPY
2020-08-20,158.03,158.89,157.09,158.54,158.09856483,1828452,0.0000,1.0,SPY
2020-08-19,160.04,160.98,158.37,158.58,158.138453455,1076708,0.0000,1.0,SPY
2020-08-18,157.51,160.53,157.09,160.17,159.724026295,1476757,0.0000,1.0,SPY
2020-08-17,157.92,158.5832,156.81,157.42,156.981683332,2193215,0.0000,1.0,SPY
2020-08-14,158.67,158.77,155.735,157.05,156.612713552,1780230,0.0000,1.0,SPY
2020-08-13,158.67,159.865,158.05,158.87,158.427645985,1192841,0.0000,1.0,SPY
